Id,Label,timeset,modularity_class,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality,nodecolor-multimode,Authority,Hub
1035633294514315265,1035633294514315265,,3,0,2140,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
1119711862919180289,1119711862919180289,,3,0,2139,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
1182475540734701568,1182475540734701568,,3,0,2138,1,0,1,2,0,2,0,0,0,0,0,0.031882,blue,0.0242,0
1204205339794722816,1204205339794722816,,3,0,2137,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
925195314155339776,925195314155339776,,13,0,2136,2,0,2,2,0,2,0,0,0,0,0,0.041701,blue,0.024322,0
817881284638744576,817881284638744576,,10,0,12,10,0,10,10,0,10,0,0,0,0,0,0.120248,blue,0.000724,0
973512242783191042,973512242783191042,,3,0,2135,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
622212098,622212098,,3,0,2134,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
826723554767011840,826723554767011840,,10,0,14,3,0,3,3,0,3,0,0,0,0,0,0.029455,blue,0.000625,0
3783816134,3783816134,,10,0,2226,0,2,2,0,2,2,1,1,1,0,0,0,red,0,0.000024
919413370050285568,919413370050285568,,10,0,2237,0,13,13,0,13,13,1,1,1,0,0,0,red,0,0.000628
435345171,435345171,,3,0,59,6,0,6,6,0,6,0,0,0,0,0.033333,0.78444,blue,0.024342,0
1116542740458696704,1116542740458696704,,16,0,365,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0,0
1237086360378408960,1237086360378408960,,3,0,2133,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
858632053092429826,858632053092429826,,10,0,2382,1,114,115,1,117,118,4,0.738938,0.835828,330,0.000076,0.031882,red,0.000018,0.003356
3130003620,3130003620,,3,0,2381,2,0,2,2,0,2,0,0,0,0,0,0.06616,blue,0.000322,0
1220911602423291905,1220911602423291905,,10,0,2384,0,3,3,0,3,3,1,1,1,0,0,0,red,0,0.00004
3389558343,3389558343,,10,0,74,8,0,8,8,0,8,0,0,0,0,0,0.882244,blue,0.000287,0
1954977612,1954977612,,3,0,2132,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
759473174866169856,759473174866169856,,10,0,2378,4,44,48,5,45,50,3,0.877193,0.936667,343,0.000443,0.107861,red,0.000363,0.000663
930641468259102720,930641468259102720,,10,0,2377,1,0,1,1,0,1,0,0,0,0,0,0.164825,blue,0.000016,0
102380007,102380007,,3,0,2131,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
1139724281405775872,1139724281405775872,,13,0,2130,2,0,2,2,0,2,0,0,0,0,0,0.041701,blue,0.024349,0
991342969734262785,991342969734262785,,10,0,2380,3,1,4,3,1,4,1,1,1,5,0.083333,0.120107,red,0.000099,0
1183827400175443968,1183827400175443968,,10,0,188,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
859850837723680768,859850837723680768,,13,0,2386,0,2,2,0,2,2,1,1,1,0,0,0,red,0,0.000001
1209469461926944776,1209469461926944776,,13,0,2385,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0,0
993244997418962945,993244997418962945,,62,2,2392,0,5,5,0,5,5,1,1,1,0,0,0,red,0,0
1080479553389244417,1080479553389244417,,62,2,2391,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0,0
173839178,173839178,,39,0,2396,0,3,3,0,3,3,1,1,1,0,0,0,red,0,0
1118925948504739842,1118925948504739842,,39,0,2395,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0,0
1027681808492756998,1027681808492756998,,10,0,2402,0,9,9,0,9,9,4,0.508621,0.55791,0,0,0,red,0,0.000634
1133091782911254528,1133091782911254528,,10,0,2383,3,0,3,3,0,3,0,0,0,0,0,0.029455,blue,0.000627,0
174422073,174422073,,3,0,2129,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
996111360512606208,996111360512606208,,3,0,2128,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
3291285477,3291285477,,10,0,2403,1,1,2,1,1,2,1,1,1,2,0,0.031882,red,0,0.000017
968204266874785792,968204266874785792,,13,0,2418,0,14,14,0,14,14,3,0.609756,0.746667,0,0,0,red,0,0.000611
1159165349381586944,1159165349381586944,,13,0,2400,4,0,4,4,0,4,0,0,0,0,0,0.085797,blue,0.00003,0
1030605187482759168,1030605187482759168,,3,0,415,1,0,1,1,0,1,0,0,0,0,0,0.056342,red,0.000088,0
1033239561487319040,1033239561487319040,,10,0,2420,0,2,2,0,2,2,1,1,1,0,0,0,blue,0,0.000006
1269080890631696386,1269080890631696386,,10,0,2419,1,0,1,1,0,1,0,0,0,0,0,0.009818,red,0,0
1155122855673323520,1155122855673323520,,3,0,2479,1,64,65,1,65,66,5,0.50655,0.598563,232,0.00024,0.009818,red,0,0.000729
764395975846662145,764395975846662145,,3,0,2127,2,0,2,3,0,3,0,0,0,0,0,0.041701,blue,0.024353,0
905117948381192193,905117948381192193,,3,0,891,17,2,19,17,2,19,1,1,1,39,0.005848,0.404437,blue,0.025199,0.000597
995799734957862915,995799734957862915,,3,0,2481,0,3,3,0,3,3,1,1,1,0,0,0,red,0,0.000048
2642763882,2642763882,,3,0,388,11,0,11,12,0,12,0,0,0,0,0,0.345727,blue,0.001407,0
807055749717204992,807055749717204992,,13,0,2483,0,2,2,0,2,2,2,0.75,0.833333,0,0,0,blue,0,0.000008
1097242820899991554,1097242820899991554,,3,0,2126,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
218946372,218946372,,10,0,2401,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0.000015,0
