Source, Target, Date Start
1070126918404517888, 1119698831468318722,07-06-20 23:57:24
2275698195, 1086907497800257536,07-06-20 23:57:24
19923638, 1093254707047530497,07-06-20 23:57:24
1146555342286938122, 2227777789,07-06-20 23:57:24
954887105347452929, 1267268825621262336,07-06-20 23:57:23
1081008252211658752, 1036950276538810369,07-06-20 23:57:23
15825051, 1026286176406257665,07-06-20 23:57:23
15825051, 1033084889413742592,07-06-20 23:57:22
1146555342286938122, 907281309117980673,07-06-20 23:57:22
1146555342286938122, 783363706944192512,07-06-20 23:57:22
2845299511, 4442167047,07-06-20 23:57:21
1146555342286938122, 201466379,07-06-20 23:57:21
107072215, 869218691132661760,07-06-20 23:57:19
1146555342286938122, 997147349913923584,07-06-20 23:57:18
1070126918404517888, 1049024780291039232,07-06-20 23:57:18
1070126918404517888, 822493948514078721,07-06-20 23:57:18
1206862388022173697, 1217966270059909120,07-06-20 23:57:17
1146555342286938122, 1120441187670867969,07-06-20 23:57:17
15825051, 1057607424327077890,07-06-20 23:57:17
107072215, 1202674183244668928,07-06-20 23:57:17
1146555342286938122, 1057766509236219904,07-06-20 23:57:15
1146555342286938122, 1115588695082459137,07-06-20 23:57:15
15825051, 44320472,07-06-20 23:57:14
941980252510679041, 272031201,07-06-20 23:57:14
222680234, 1026280670,07-06-20 23:57:14
1146555342286938122, 951402841490550784,07-06-20 23:57:14
1146555342286938122, 3035414050,07-06-20 23:57:11
1146555342286938122, 1079224991525171201,07-06-20 23:57:10
1146555342286938122, 753233654,07-06-20 23:57:09
15825051, 712057661743874051,07-06-20 23:57:09
107072215, 1071901045427589121,07-06-20 23:57:08
2955131538, 828276295691796482,07-06-20 23:57:08
1146555342286938122, 1237064549578268672,07-06-20 23:57:08
1223412986775265280, 784982845324308480,07-06-20 23:57:08
1146555342286938122, 1222629810670837761,07-06-20 23:57:08
1146555342286938122, 1589908465,07-06-20 23:57:07
1146555342286938122, 1041429702563393536,07-06-20 23:57:07
19923638, 976502942181330944,07-06-20 23:57:07
1146555342286938122, 67826204,07-06-20 23:57:07
1146555342286938122, 1247848009213325314,07-06-20 23:57:07
16411682, 921142891262631936,07-06-20 23:57:06
1146555342286938122, 1239390652850470913,07-06-20 23:57:06
1146555342286938122, 3254763444,07-06-20 23:57:05
1146555342286938122, 1241942381705846784,07-06-20 23:57:05
1146555342286938122, 3264558579,07-06-20 23:57:05
1146555342286938122, 959781597200330752,07-06-20 23:57:05
1146555342286938122, 892928435210698752,07-06-20 23:57:04
1146555342286938122, 2483342348,07-06-20 23:57:04
1146555342286938122, 1547371916,07-06-20 23:57:03
19923638, 1232767405430132736,07-06-20 23:57:03
15825051, 793849297099821056,07-06-20 23:57:02
864525927438536707, 920148169379405825,07-06-20 23:57:02
15825051, 110346305,07-06-20 23:57:02
1049444995084800000, 1213263102088581125,07-06-20 23:57:02
11277292, 1141568998338732032,07-06-20 23:57:01
1146555342286938122, 894520192155361280,07-06-20 23:57:00
1146555342286938122, 1131328870341328896,07-06-20 23:57:00
1146555342286938122, 1677355188,07-06-20 23:57:00
954887105347452929, 420527874,07-06-20 23:56:59
1146555342286938122, 463322263,07-06-20 23:56:58
222680234, 820225766029815808,07-06-20 23:56:58
1146555342286938122, 1000890583609524224,07-06-20 23:56:57
241272963, 932394798262009856,07-06-20 23:56:56
1146555342286938122, 3251355168,07-06-20 23:56:56
1146555342286938122, 1085627540260245504,07-06-20 23:56:56
1146555342286938122, 804301824291278848,07-06-20 23:56:55
1146555342286938122, 1964585114,07-06-20 23:56:53
156567632, 1269530434733371393,07-06-20 23:56:53
446736941, 859896160856805377,07-06-20 23:56:53
1146555342286938122, 1079521279143804929,07-06-20 23:56:52
15825051, 995499620682948609,07-06-20 23:56:52
222680234, 105705861,07-06-20 23:56:52
21212532, 2175303084,07-06-20 23:56:52
19923638, 1123780591340654593,07-06-20 23:56:52
1146555342286938122, 869308728448647168,07-06-20 23:56:52
1103483197, 1360523665,07-06-20 23:56:51
1146555342286938122, 1005819464737177600,07-06-20 23:56:51
972611390757310464, 933052262368374784,07-06-20 23:56:51
107072215, 1053955317011083264,07-06-20 23:56:50
1146555342286938122, 931988975077724161,07-06-20 23:56:50
2208055752, 17935127,07-06-20 23:56:50
1146555342286938122, 1132321949680570369,07-06-20 23:56:50
15825051, 872255844158668806,07-06-20 23:56:50
362655140, 886038156008665089,07-06-20 23:56:49
4822956857, 30287610,07-06-20 23:56:49
1146555342286938122, 1100114255313956864,07-06-20 23:56:48
1070126918404517888, 1198340614548385792,07-06-20 23:56:48
1146555342286938122, 949575323359830016,07-06-20 23:56:47
1146555342286938122, 1589270305,07-06-20 23:56:47
